,file_contents
3575,"“stop, that hurts,” i said, moving toward her on the bed.
"
3576,"“don’t come near me, you drunk loafer. you know dad brooded for two hours that day.”
"
3577,"she was laughing so hard, she had to press her stomach with a hand.
"
3578,"i curled up next to her and held her. she turned her face towards me, almost 1n reflex. we
"
3579,"kissed, and then we kissed again. then she held my hand and did something that she had
"
3580,"never done before; she put it on her breast.
"
3581,"wow, my head went into a tizzy. what happened to this girl? had she lost her mind? i
"
3582,"certainly lost mine and forgot about operation pendulum.
"
3583,"my hand slid under her t-shirt and then clumsily under the bra. life would be so much
"
3584,"better without hooks.
"
3585,"“easy tiger easy,” she said. i liked it that she called me tiger.
"
3586,"she sat up to remove her t-shirt. and then the rest. i sat there transfixed, trying hard not to
"
3587,"let my tongue hang loose and pant like a dog.
"
3588,"“well tiger, are you going to remove anything or not?” she said.
"
3589,"“ti...” i said as she pulled me close.
"
3590,"half an hour later, we lay on the bed, spent but completely content. i looked up at the old
"
3591,"ceiling fan in neha’s room, going around in awkward circles and felt dizzy with happiness.
"
3592,"“so?” neha said.
"
3593,"“so what,” i said, regaining my equilibrium.
"
3594,"“say something.”
"
3595,"i was bloody beyond happy. if i did not have that key to steal, i would have stayed put
"
3596,"forever.
"
3597,"“that was quite... amazing,” i said 1n an understatement.
"
3598,"“thanks. i liked it too. i guess lama bad girl now,” she said.
"
3599,"“no, you are not,” i said, scared she might regret this and never do it again.
"
3600,"“yeah, right. here i am, lying naked with a man who was drunk in his viva, while my dad
"
3601,"is less than a kilometer away in his office,” she said and laughed, “it’s so liberating.”
"
3602,"“really?”
"
3603,"“yes, so liberating, yet so sad,” she said.
"
3604,"“relax, neha,” i said, fearing an inexplicable round of tears. “do you want to go out?”
"
3605,"“no. why, don’t you like it here?”
"
3606,"“it do. just wanted a cigarette,” i said.
"
3607,"“oh yes, i have heard cigarettes are great after sex. please get me one too,” she said.
"
3608,"“you don’t smoke!”
"
3609,"“t don’t sleep with guys either. hurry, get me a fag please.”
"
3610,"i saw the opportunity, and jumped at it. “can i take your car?”
"
3611,"“why? you didn’t get ryan’s scooter?”
"
3612,"“no, he wanted it for squash. can i?”
"
3613,"“okay, the keys are on top of the fridge. be quick though,” she said as she got up and
"
3614,"picked up my shirt.
"
3615,"“hey, that’s my shirt you’re wearing,” i pointed out.
"
3616,"“t know. i like it, it 1s so loose and perfect for a little nap,” she said and pretended to fall
"
3617,"asleep.
"
3618,"“neha. don’t be ridiculous, how am i supposed to go out?”
"
3619,"“wear my top,” she said lazily.
"
3620,"“tt’s pink, and all tight. are you nuts?”
"
3621,"“just take one of dad’s shirts 1n the closet downstairs.”
"
3622,"“neha, don’t be silly...”
"
3623,"“get lost and get the fags hari, you have tired me out,” she said and threw a pillow at me.
"
3624,"thinking if i could take prof cherian’s car and daughter, i could totally take his shirt, i
"
3625,"took out a white shirt from his closet, plain apart from the dc monogrammed on the sleeve.
"
3626,"i picked up the bunch of keys from the fridge. six of them, one surely for cherian’s office.
"
3627,"“yes!” i said to myself as i left the house.
"
3628,"i drove out on the empty road, as the mid-day sun had forced most people indoors, drove
"
3629,"to jia sarai and went straight to the duplicate key shop.
"
3630,"“which one?” the shopkeeper said.
"
3631,"“all six,” i said.
"
3632,"as the shopkeeper carved the new keys, i bought a pack of cigarettes. this was simpler
"
3633,"than i thought. i lit one and drifted into thoughts of hugging neha again. this had to be the
"
3634,"most wonderful day of my life.
"
3635,"the keys were ready soon. i put the new bunch in my pocket and drove back into campus
"
3636,"through the insti gates.
"
3637,"just as i turned toward faculty housing, i saw a bicycle ahead of me. i am mad, i am
"
3638,"stupid, a freaking jerk i thought as i honked — and turning around to look at me was cherian.
"
3639,"17
"
3640,"the longest day of my life ii
"
3641,"there are times in your life when you are so scared you scream, and
"
3642,"there are times you are so beyond scared you just freeze. i mean you kind of get fossilized in
"
3643,"an icebox and never come back to life ever again. when cherian got off his bicycle and
"
3644,"walked toward me, or rather his car, i went into deep freeze.
"
3645,"he came and stood next to me. i should have probably got out, but i was crap scared to
"
3646,"move an inch. i heard my heart, which was louder than cherian’s words. “this is my car,”
"
3647,"he said.
"
3648,"true, i thought, ten out of ten. i can control this, i said to myself and tried to breathe.
"
3649,"“yes, sir,” i said.
"
3650,"“who are you? and what are you doing in my car?” he asked next.
"
3651,"“sir, just driving back... sir,” i said, probably looking as stupid as i sounded.
"
3652,"cherian parked his bicycle on the side of the road and abandoning my role as a wax
"
3653,"model, i got out of the car. oh, where were the dinosaurs when you needed them?
"
3654,"“were you driving to my home?” cherian said, opening the front door. yes, he was going
"
3655,"to drive now. could i go home?
"
3656,"“yes, sir.”
"
3657,"suddenly his mighty brow furrowed. “i know you. you are a student, right? what 1s your
"
3658,"name?”
"
3659,"“hari, sir,” i said, glad he had asked the only thing i was sure about.
"
3660,"“you are the one who was playing tricks in my viva?”
"
3661,"i nodded, guilty as charged.
"
3662,"“get in,” cherian said.
"
3663,"i quietly opened the other front door and sat next to him. he started the car.
"
3664,"“who gave you the keys?”
"
3665,"i jumped at the last word. my hand caressed my trouser pocket from the outside. yes, the
"
3666,"set of duplicate keys was still there. i had to think of something now. any reason why i
"
3667,"could be driving his car apart from buying post-coitus cigarettes for his daughter.
"
3668,"“neha, sir,” i said after a deliberate pause.
"
3669,"“you know neha?” the professor’s eyebrows shot up.
"
3670,"“sir, i met her on the road. the car had a flat tire.”
"
3671,"“so?” cherian said.
"
3672,"“sir, i was passing by and offered to push the car to the mechanic. she had to go back and
"
3673,"i offered to bring the car home.”
"
3674,"silence from cherian. had he fallen for it? i guessed he had, for he started the car and
"
3675,"started driving it slowly.
"
3676,"“why did you offer that?”
"
3677,"“just wanted to help,” i shrugged modestly like i go about scouting for good deeds all
"
3678,"day.
"
3679,"“and you don’t have classes to attend?”
"
3680,"“a free period, sir.”
"
3681,"“sully girl,” cherian spoke aloud to himself, “gives the car to any stupid stranger. i have
"
3682,"to talk to her about this.”
"
3683,"i kept silent; a new thought had crossed my mind; if neha would be dressed. the last
"
3684,"thing i wanted right now was a surprise hug from her when she opened the door. if only i
"
3685,"could get ten seconds before she spoke to cherian. or if only i could disappear.
"
3686,"cherian parked the car at his house.
"
3687,"“sir, can i go now?”
"
3688,"“no, come in. this stupid girl should at least thank you. not that i’d ever let boys like
"
3689,"you come near my house.”
"
3690,"“right, sir.” i totally understood him.
"
3691,"cherian pressed the doorbell. neha opened the door wearing just a bed sheet.
"
3692,"“have you...” then she saw her father. “dad,” neha said, blinking her eyes and adjusting
"
3693,"her bed sheet to cover the maximum. surely, this was one hell of a kick compared to
"
3694,"cigarettes.
"
3695,"“your keys, ma’am,” i spoke quickly, “don’t worry, i got the puncture completely fixed
"
3696,"and brought your car back.”
"
3697,"“huh?” she looked at me.
"
